Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;;"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;"CS "
Aurore;Pichon;AurorePichon@cy-tech.fr;15;11.41;;"ICC ";"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";BI;"CS "
Danielle-Joséphine;Bruneau;Danielle-JoséphineBruneau@cy-tech.fr;15;11.389;;"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;"CS "
Océane;Nguyen;OcéaneNguyen@cy-tech.fr;15;11.37;;"HPDA ";"ICC ";"IAP ";"INEM ";"IAC ";"BI ";VISUA;"CS "
Alexandre;Perret;AlexandrePerret@cy-tech.fr;15;11.305;;"IAP ";"IAC ";"INEM ";"VISUA ";"CS ";"ICC ";BI;"HPDA "
Élisabeth;Blondel;ÉlisabethBlondel@cy-tech.fr;15;11.261;;;"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";BI;"IAC "
Henriette-Marthe;Tanguy;Henriette-MartheTanguy@cy-tech.fr;15;10.95;;"IAC ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;"CS "
Gabrielle;Vasseur;GabrielleVasseur@cy-tech.fr;15;10.902;;"IAP ";"IAC ";"ICC ";"VISUA ";"CS ";"BI ";HPDA;"INEM "
Pierre;Mary;PierreMary@cy-tech.fr;15;10.831;;"INEM ";"BI ";"IAC ";"CS ";"IAP ";"HPDA ";ICC;"VISUA "
Michelle;Guibert;MichelleGuibert@cy-tech.fr;15;10.758;;"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;"VISUA "
Patrick;Morin;PatrickMorin@cy-tech.fr;15;10.731;;"CS ";"IAC ";"ICC ";"IAP ";"INEM ";"VISUA ";HPDA;"BI "
Daniel;Guillon;DanielGuillon@cy-tech.fr;15;10.726;;"INEM ";"IAC ";"ICC ";"CS ";"IAP ";"HPDA ";VISUA;"BI "
Claude;Gimenez;ClaudeGimenez@cy-tech.fr;15;10.602;;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;"CS "
Victor;Hubert;VictorHubert@cy-tech.fr;15;10.576;;"ICC ";"HPDA ";"BI ";"IAC ";"IAP ";"VISUA ";INEM;"CS "
Astrid;Fischer;AstridFischer@cy-tech.fr;15;10.427;;"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"VISUA ";BI;"CS "
Marguerite;de;Margueritede@cy-tech.fr;15;10.367;;"CS ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;"IAC "
Victor;Vasseur;VictorVasseur@cy-tech.fr;15;10.337;;"CS ";"INEM ";"IAC ";"BI ";"ICC ";"IAP ";HPDA;"VISUA "
Simone-Gabrielle;Bonnet;Simone-GabrielleBonnet@cy-tech.fr;15;10.301;;"IAP ";"ICC ";"BI ";"VISUA ";"CS ";"IAC ";INEM;"HPDA "
Adrien-Xavier;Menard;Adrien-XavierMenard@cy-tech.fr;15;10.291;;"IAC ";"BI ";"CS ";"IAP ";"HPDA ";"INEM ";VISUA;"ICC "
Marcel;Carlier;MarcelCarlier@cy-tech.fr;15;10.29;;"CS ";"VISUA ";"IAC ";"IAP ";"ICC ";"BI ";HPDA;"INEM "
Zacharie;Muller;ZacharieMuller@cy-tech.fr;15;10.147;;"BI ";"IAC ";"IAP ";"ICC ";"INEM ";"CS ";HPDA;"VISUA "
Andrée;Mendes;AndréeMendes@cy-tech.fr;15;10.068;;"INEM ";"CS ";"BI ";"IAC ";"IAP ";"HPDA ";ICC;"VISUA "
Augustin;David-Rey;AugustinDavid-Rey@cy-tech.fr;15;9.891;;"IAP ";"IAC ";"INEM ";"ICC ";"BI ";"HPDA ";VISUA;"CS "
Philippe;De;PhilippeDe@cy-tech.fr;15;9.523;;"INEM ";"VISUA ";"CS ";"IAC ";"IAP ";"ICC ";HPDA;"BI "
Éric;Rousset;ÉricRousset@cy-tech.fr;15;9.459;;"IAC ";"BI ";"IAP ";"ICC ";"VISUA ";"INEM ";HPDA;"CS "
Dorothée;Albert;DorothéeAlbert@cy-tech.fr;15;9.291;;"BI ";"INEM ";"IAC ";"VISUA ";"HPDA ";"ICC ";IAP;"CS "
Christophe-Honoré;Mallet;Christophe-HonoréMallet@cy-tech.fr;15;9.255;;"IAC ";"VISUA ";"INEM ";"CS ";"IAP ";"ICC ";HPDA;"BI "
Édouard;Leconte;ÉdouardLeconte@cy-tech.fr;15;9.007;;"CS ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;"IAC "
Auguste;Clerc-Maillard;AugusteClerc-Maillard@cy-tech.fr;15;8.952;;"CS ";"IAC ";"BI ";"IAP ";"VISUA ";"ICC ";INEM;"HPDA "
Léon;Maillard;LéonMaillard@cy-tech.fr;15;8.768;;"BI ";"INEM ";"IAC ";"CS ";"IAP ";"ICC ";HPDA;"VISUA "
Raymond-Édouard;Coulon;Raymond-ÉdouardCoulon@cy-tech.fr;15;1.475;;"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";"HPDA ";INEM;"CS "
Océane;Gauthier;OcéaneGauthier@cy-tech.fr;0;0;;;"BI ";"IAC ";"VISUA ";"CS ";"ICC ";INEM;"HPDA "
Jules;Cohen;JulesCohen@cy-tech.fr;0;0;;"VISUA ";"BI ";"CS ";"INEM ";"IAP ";"HPDA ";ICC;"IAC "
Dominique;Leclerc;DominiqueLeclerc@cy-tech.fr;0;0;;"INEM ";"ICC ";"IAP ";"IAC ";"VISUA ";"HPDA ";BI;"CS "
René;Picard;RenéPicard@cy-tech.fr;0;0;;"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";"HPDA ";CS;"IAC "
Jules;Arnaud;JulesArnaud@cy-tech.fr;0;0;;;"ICC ";"BI ";"HPDA ";"VISUA ";"CS ";INEM;"IAC "
Joséphine;Martin;JoséphineMartin@cy-tech.fr;0;0;;"CS ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;"IAC "
Nath;du;Nathdu@cy-tech.fr;0;0;;"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";"ICC ";BI;"CS "
Anouk;Fournier;AnoukFournier@cy-tech.fr;0;0;;"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;"CS "
