Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;"IAC ";"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;1
Augustin;Allain;AugustinAllain@cy-tech.fr;15;11.513;"CS ";"IAC ";"BI ";"INEM ";"VISUA ";"ICC ";"IAP ";HPDA;162
Gilbert;Deschamps;GilbertDeschamps@cy-tech.fr;15;11.51;"IAP ";"HPDA ";"ICC ";"IAC ";"VISUA ";"INEM ";"CS ";BI;187
Aurore;Pichon;AurorePichon@cy-tech.fr;15;11.41;"CS ";"ICC ";"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";BI;163
Danielle-Joséphine;Bruneau;Danielle-JoséphineBruneau@cy-tech.fr;15;11.389;"CS ";"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;164
Océane;Nguyen;OcéaneNguyen@cy-tech.fr;15;11.37;"CS ";"HPDA ";"ICC ";"IAP ";"INEM ";"IAC ";"BI ";VISUA;165
Alexandre;Perret;AlexandrePerret@cy-tech.fr;15;11.305;"HPDA ";"IAP ";"IAC ";"INEM ";"VISUA ";"CS ";"ICC ";BI;166
Élisabeth;Blondel;ÉlisabethBlondel@cy-tech.fr;15;11.261;"IAP ";"IAC ";"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";BI;188
Henriette-Marthe;Tanguy;Henriette-MartheTanguy@cy-tech.fr;15;10.95;"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;189
Gabrielle;Vasseur;GabrielleVasseur@cy-tech.fr;15;10.902;"INEM ";"IAP ";"IAC ";"ICC ";"VISUA ";"CS ";"BI ";HPDA;167
Pierre;Mary;PierreMary@cy-tech.fr;15;10.831;"VISUA ";"INEM ";"BI ";"IAC ";"CS ";"IAP ";"HPDA ";ICC;168
Michelle;Guibert;MichelleGuibert@cy-tech.fr;15;10.758;"VISUA ";"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;169
Patrick;Morin;PatrickMorin@cy-tech.fr;15;10.731;"BI ";"CS ";"IAC ";"ICC ";"IAP ";"INEM ";"VISUA ";HPDA;198
Daniel;Guillon;DanielGuillon@cy-tech.fr;15;10.726;"BI ";"INEM ";"IAC ";"ICC ";"CS ";"IAP ";"HPDA ";VISUA;190
Claude;Gimenez;ClaudeGimenez@cy-tech.fr;15;10.602;"CS ";"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;191
Victor;Hubert;VictorHubert@cy-tech.fr;15;10.576;"CS ";"ICC ";"HPDA ";"BI ";"IAC ";"IAP ";"VISUA ";INEM;192
Astrid;Fischer;AstridFischer@cy-tech.fr;15;10.427;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"VISUA ";BI;193
Marguerite;de;Margueritede@cy-tech.fr;15;10.367;"IAC ";"CS ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;170
Victor;Vasseur;VictorVasseur@cy-tech.fr;15;10.337;"VISUA ";"CS ";"INEM ";"IAC ";"BI ";"ICC ";"IAP ";HPDA;171
Simone-Gabrielle;Bonnet;Simone-GabrielleBonnet@cy-tech.fr;15;10.301;"HPDA ";"IAP ";"ICC ";"BI ";"VISUA ";"CS ";"IAC ";INEM;172
Adrien-Xavier;Menard;Adrien-XavierMenard@cy-tech.fr;15;10.291;"ICC ";"IAC ";"BI ";"CS ";"IAP ";"HPDA ";"INEM ";VISUA;173
Marcel;Carlier;MarcelCarlier@cy-tech.fr;15;10.29;"INEM ";"CS ";"VISUA ";"IAC ";"IAP ";"ICC ";"BI ";HPDA;174
Zacharie;Muller;ZacharieMuller@cy-tech.fr;15;10.147;"VISUA ";"BI ";"IAC ";"IAP ";"ICC ";"INEM ";"CS ";HPDA;175
Andrée;Mendes;AndréeMendes@cy-tech.fr;15;10.068;"VISUA ";"INEM ";"CS ";"BI ";"IAC ";"IAP ";"HPDA ";ICC;176
Augustin;David-Rey;AugustinDavid-Rey@cy-tech.fr;15;9.891;"CS ";"IAP ";"IAC ";"INEM ";"ICC ";"BI ";"HPDA ";VISUA;199
Philippe;De;PhilippeDe@cy-tech.fr;15;9.523;"BI ";"INEM ";"VISUA ";"CS ";"IAC ";"IAP ";"ICC ";HPDA;194
Éric;Rousset;ÉricRousset@cy-tech.fr;15;9.459;"CS ";"IAC ";"BI ";"IAP ";"ICC ";"VISUA ";"INEM ";HPDA;195
Dorothée;Albert;DorothéeAlbert@cy-tech.fr;15;9.291;"CS ";"BI ";"INEM ";"IAC ";"VISUA ";"HPDA ";"ICC ";IAP;200
Christophe-Honoré;Mallet;Christophe-HonoréMallet@cy-tech.fr;15;9.255;"BI ";"IAC ";"VISUA ";"INEM ";"CS ";"IAP ";"ICC ";HPDA;201
Édouard;Leconte;ÉdouardLeconte@cy-tech.fr;15;9.007;"IAC ";"CS ";"VISUA ";"INEM ";"ICC ";"IAP ";"BI ";HPDA;202
Auguste;Clerc-Maillard;AugusteClerc-Maillard@cy-tech.fr;15;8.952;"HPDA ";"CS ";"IAC ";"BI ";"IAP ";"VISUA ";"ICC ";INEM;177
Léon;Maillard;LéonMaillard@cy-tech.fr;15;8.768;"VISUA ";"BI ";"INEM ";"IAC ";"CS ";"IAP ";"ICC ";HPDA;178
Raymond-Édouard;Coulon;Raymond-ÉdouardCoulon@cy-tech.fr;15;1.475;"CS ";"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";"HPDA ";INEM;206
Océane;Gauthier;OcéaneGauthier@cy-tech.fr;0;0;"IAP ";"HPDA ";"BI ";"IAC ";"VISUA ";"CS ";"ICC ";INEM;196
Jules;Cohen;JulesCohen@cy-tech.fr;0;0;"IAC ";"VISUA ";"BI ";"CS ";"INEM ";"IAP ";"HPDA ";ICC;197
Dominique;Leclerc;DominiqueLeclerc@cy-tech.fr;0;0;"CS ";"INEM ";"ICC ";"IAP ";"IAC ";"VISUA ";"HPDA ";BI;203
René;Picard;RenéPicard@cy-tech.fr;0;0;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"ICC ";"HPDA ";CS;204
Jules;Arnaud;JulesArnaud@cy-tech.fr;0;0;"IAP ";"IAC ";"ICC ";"BI ";"HPDA ";"VISUA ";"CS ";INEM;205
Joséphine;Martin;JoséphineMartin@cy-tech.fr;0;0;"IAC ";"CS ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;207
Nath;du;Nathdu@cy-tech.fr;0;0;"CS ";"INEM ";"IAC ";"IAP ";"VISUA ";"HPDA ";"ICC ";BI;208
Anouk;Fournier;AnoukFournier@cy-tech.fr;0;0;"CS ";"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";"BI ";HPDA;209
